anfangen angefangen
ankommen angekommen
aufmachen aufgemacht
aufpassen aufgepasst
bedeuten bedeutet
beraten beraten
diskutieren diskutiert
einrichten eingerichtet
erleben erlebt
hangen gehangt
klappen geklappt
klettern geklettert
legen gelegt
liegen gelegen
passieren passiert
renovieren renoviert
rufen gerufen
sammeln gesammelt
setzen gesetzt
sitzen gesessen 
stellen gestellt
stehen gestanden
streiten gestritten
Ubernachten Ubernachtet
vergleichen verglichen
verkaufen verkauft
verstecken versteckt
wachsen gewachsen
warten gewartet
zeichnen gezeichnet
